"id","sl.cat","ta.cat","act.cat","northing","easting","date_time"
"blanca",2,10,NA,7874735,625943,1562300934
"blanca",1,2,2,7874753,625984,1562301324
"blanca",2,9,NA,7874783,625887,1562301757
"blanca",2,NA,5,7874770,625776,1562364619
"blanca",1,3,NA,7874808,625782,1562365030
"blanca",1,4,2,7874820,625797,1562365460
"blanca",3,8,NA,7874949,625740,1562365876
"blanca",1,4,3,7874966,625749,1562366342
"blanca",1,2,3,7874943,625771,1562366730
"blanca",1,8,NA,7874946,625776,1562367138
"blanca",1,8,1,7874974,625760,1562367551
"blanca",1,6,NA,7875000,625727,1562367988
"blanca",1,1,NA,7874992,625762,1562368401
"blanca",1,8,2,7875034,625763,1562368836
"blanca",1,2,NA,7875018,625793,1562369283
"blanca",1,1,4,7875045,625740,1562369692
"blanca",1,2,NA,7875077,625782,1562370078
"blanca",1,6,2,7875087,625793,1562370542
"blanca",1,NA,3,7875053,625848,1562373047
"blanca",2,NA,NA,7875079,625859,1562374286
"blanca",1,2,NA,7875111,625858,1562374710
"blanca",1,4,5,7875158,625905,1562375121
"blanca",1,3,NA,7875144,625923,1562375556
"blanca",1,7,3,7875158,625955,1562375962
"blanca",1,5,NA,7875161,625977,1562376389
"blanca",1,2,NA,7875118,625943,1562376790
"blanca",2,5,3,7875049,625874,1562377211
"blanca",1,7,NA,7874983,625871,1562377683
"blanca",1,1,3,7875029,625857,1562378103
"blanca",2,10,NA,7874933,625883,1562378494
"blanca",1,NA,NA,7874798,626006,1562454804
"blanca",1,6,2,7874810,626030,1562455221
"blanca",1,NA,NA,7874990,626040,1562459463
"blanca",1,3,NA,7875025,626095,1562459874
"blanca",1,4,2,7875022,626128,1562460304
"blanca",1,NA,NA,7875010,626052,1562461961
"blanca",1,6,2,7875010,626022,1562462405
"blanca",1,5,NA,7875023,625977,1562462823
"blanca",1,7,NA,7874994,625957,1562463209
"blanca",1,7,1,7874956,625961,1562463636
"blanca",3,NA,4,7874939,625910,1562537422
"blanca",1,8,NA,7874931,625871,1562537845
"blanca",1,3,1,7874941,625868,1562538258
"blanca",1,10,NA,7874933,625870,1562538685
"blanca",1,9,NA,7874944,625879,1562539104
"blanca",1,7,3,7874972,625872,1562539518
"blanca",1,3,NA,7874981,625889,1562539945
"blanca",1,8,3,7875040,625864,1562540402
"blanca",1,NA,3,7875143,625898,1562541625
"blanca",1,4,NA,7875159,625931,1562542046
"blanca",1,4,3,7875149,625951,1562542494
"blanca",1,8,NA,7875187,625969,1562542885
"blanca",1,5,2,7875203,625993,1562543345
"blanca",1,8,NA,7875257,625970,1562543765
"blanca",1,5,NA,7875287,625975,1562544156
"blanca",1,NA,NA,7875280,625880,1562547125
"blanca",1,6,NA,7875267,625843,1562547512
"blanca",2,NA,4,7875126,625957,1562548767
"blanca",1,NA,3,7874947,625823,1562550025
"blanca",2,8,NA,7874887,625870,1562550442
"blanca",2,NA,4,7874782,625802,1562623815
